ts,prn,S4c,ROTI,VTEC,STEC,station
2026-03-01T03:00:54Z,R04,,,,10.498955695357079,CHAN
2026-03-01T03:00:54Z,R05,,,,14.123971509653613,CHAN
2026-03-01T03:00:54Z,R06,,,,30.40774038689678,CHAN
2026-03-01T03:00:54Z,R15,,,,31.887316746545164,CHAN
2026-03-01T03:00:54Z,R16,,,,23.332788737348515,CHAN
2026-03-01T03:00:54Z,R17,,,,33.37485026266699,CHAN
2026-03-01T03:00:54Z,R18,,,,46.77391666060766,CHAN
2026-03-01T03:04:54Z,R04,,,,11.023903481948931,CHAN
2026-03-01T03:04:54Z,R05,,,,15.1701916605248,CHAN
2026-03-01T03:04:54Z,R06,,,,31.62405002845447,CHAN
2026-03-01T03:04:54Z,R15,,,,33.80404071828025,CHAN
2026-03-01T03:04:54Z,R16,,,,27.685920956880448,CHAN
2026-03-01T03:04:54Z,R17,,,,34.94748718718309,CHAN
2026-03-01T03:04:54Z,R18,,,,46.77391666060766,CHAN
