UTC(HH:MM:SS),PRN,El(deg),C/N0(dB-Hz),S4c,STEC(TECU),ROTI(TECU/min),VTEC(TECU),raw_P1(m),raw_P2(m)
06:51:49,G08,66.9,41.0,0.053,123.37,nan,48.40,45578.800,45591.760
06:51:50,G09,56.0,41.0,0.054,123.37,nan,68.99,46285.500,46298.460
06:51:50,G02,36.5,39.0,0.057,92.72,nan,74.53,272508.540,272518.280
06:51:50,G04,62.1,41.0,0.055,99.77,nan,46.68,258941.020,258951.500
06:51:50,G08,66.8,42.0,0.054,123.76,nan,48.75,45875.920,45888.920
06:51:51,G09,56.0,46.0,0.053,123.76,nan,69.20,46214.640,46227.640
06:51:51,G02,36.5,45.0,0.057,92.91,nan,74.69,272164.020,272173.780
06:51:51,G04,62.1,46.0,0.054,99.58,nan,46.59,259268.840,259279.300
06:51:51,G08,66.8,47.0,0.053,123.76,nan,48.75,46173.220,46186.220
06:51:52,G09,56.0,47.0,0.055,123.76,nan,69.20,46144.080,46157.080
06:51:52,G02,36.5,45.0,0.058,92.91,nan,74.69,271819.700,271829.460
06:51:52,G04,62.1,46.0,0.055,99.58,nan,46.59,259596.920,259607.380
06:51:52,G08,66.8,47.0,0.053,123.76,nan,48.75,46470.780,46483.780
06:51:53,G09,56.0,48.0,0.058,123.56,nan,69.10,46073.840,46086.820
06:51:53,G02,36.5,46.0,0.061,93.10,nan,74.84,271475.640,271485.420
06:51:53,G04,62.1,47.0,0.056,99.77,nan,46.68,259925.280,259935.760
06:51:53,G08,66.8,48.0,0.055,123.76,nan,48.75,46768.640,46781.640
06:51:54,G09,56.0,46.0,0.055,123.56,nan,69.10,46003.680,46016.660
06:51:54,G02,36.5,45.0,0.059,93.29,nan,74.99,271131.580,271141.380
06:51:54,G04,62.1,46.0,0.054,99.77,nan,46.68,260253.700,260264.180
06:51:54,G08,66.8,47.0,0.052,123.95,nan,48.83,47066.560,47079.580
06:51:55,G09,56.0,45.0,0.053,123.56,nan,69.10,45933.540,45946.520
06:51:55,G02,36.5,43.0,0.058,93.29,nan,74.99,270787.520,270797.320
06:51:55,G27,33.7,41.0,0.061,150.98,nan,125.61,241400.160,241416.020
06:51:55,G04,62.1,45.0,0.051,99.96,nan,46.77,260582.140,260592.640
06:51:55,G08,66.8,45.0,0.050,123.95,nan,48.83,47364.500,47377.520
06:51:56,G09,56.0,44.0,0.053,123.56,nan,69.10,45863.460,45876.440
06:51:56,G02,36.5,42.0,0.058,93.48,nan,75.15,270443.440,270453.260
06:51:56,G27,33.7,41.0,0.061,150.98,nan,125.61,241995.880,242011.740
06:51:56,G04,62.1,44.0,0.051,99.96,nan,46.77,260910.620,260921.120
06:51:56,G08,66.8,45.0,0.049,123.95,nan,48.83,47662.480,47675.500
06:51:57,G09,56.0,46.0,0.054,123.76,nan,69.20,45793.240,45806.240
06:51:57,G02,36.5,44.0,0.058,93.67,nan,75.30,270099.140,270108.980
06:51:57,G27,33.7,42.0,0.061,150.98,nan,125.61,242591.400,242607.260
06:51:57,G04,62.1,46.0,0.052,99.96,nan,46.77,261238.980,261249.480
06:51:57,G08,66.8,47.0,0.051,124.14,nan,48.90,47960.300,47973.340
06:51:58,G09,56.0,44.0,0.053,123.56,nan,69.10,45723.020,45736.000
06:51:58,G02,36.5,43.0,0.057,93.67,nan,75.30,269754.800,269764.640
06:51:58,G27,33.7,41.0,0.060,150.60,nan,125.29,243186.880,243202.700
06:51:58,G04,62.1,44.0,0.051,99.96,nan,46.77,261567.300,261577.800
06:51:58,G08,66.8,45.0,0.050,124.14,nan,48.90,48258.120,48271.160
06:51:59,G09,56.0,43.0,0.051,123.56,nan,69.10,45652.860,45665.840
06:51:59,G02,36.5,41.0,0.057,93.67,nan,75.30,269410.440,269420.280
06:51:59,G27,33.7,39.0,0.058,150.98,nan,125.61,243782.300,243798.160
06:51:59,G04,62.0,43.0,0.049,99.96,nan,46.93,261895.660,261906.160
06:51:59,G08,66.8,44.0,0.048,124.33,nan,48.98,48555.940,48569.000
06:52:00,G09,56.0,43.0,0.050,123.56,nan,69.10,45582.780,45595.760
06:52:00,G02,36.5,42.0,0.056,93.67,nan,75.30,269066.120,269075.960
06:52:00,G27,33.7,40.0,0.058,150.79,nan,125.45,244377.780,244393.620
06:52:00,G04,62.0,43.0,0.048,100.15,nan,47.02,262224.080,262234.600
