ts,prn,S4c,ROTI,VTEC,STEC,station
2026-02-17T10:45:12Z,G05,,,,42.48415444826403,CPN1
2026-02-17T10:45:12Z,G06,,,,132.11976659719883,CPN1
2026-02-17T10:45:12Z,G11,,,,63.18401650061615,CPN1
2026-02-17T10:45:12Z,G12,,,,55.69400477362925,CPN1
2026-02-17T10:45:12Z,G13,,,,105.8116984912222,CPN1
2026-02-17T10:45:12Z,G14,,,,123.61974621133352,CPN1
2026-02-17T10:45:12Z,G17,,,,76.47892016470436,CPN1
2026-02-17T10:45:12Z,G19,,,,43.48353145310083,CPN1
2026-02-17T10:45:12Z,G21,,,,35.738359674481515,CPN1
2026-02-17T10:45:12Z,G22,,,,57.76718050344769,CPN1
2026-02-17T10:45:12Z,G24,,,,147.5728993652919,CPN1
2026-02-17T10:45:12Z,G25,,,,194.03329852481994,CPN1
2026-02-17T10:45:12Z,E02,,,,63.46851863300082,CPN1
2026-02-17T10:45:12Z,E03,,,,106.51352695113899,CPN1
2026-02-17T10:45:12Z,E05,,,,118.49190926967206,CPN1
2026-02-17T10:45:12Z,E13,,,,250.0,CPN1
2026-02-17T10:45:12Z,E15,,,,105.39068909605295,CPN1
2026-02-17T10:45:12Z,E25,,,,153.01375450217427,CPN1
2026-02-17T10:45:12Z,E27,,,,185.16853610137852,CPN1
2026-02-17T10:45:12Z,E30,,,,75.04805507127885,CPN1
2026-02-17T10:45:12Z,E34,,,,101.480265353887,CPN1
2026-02-17T10:45:12Z,E36,,,,202.76544299896904,CPN1
2026-02-17T10:45:13Z,G05,,,,42.488362823143305,CPN1
2026-02-17T10:45:13Z,G06,,,,132.07331946285336,CPN1
2026-02-17T10:45:13Z,G11,,,,63.17832408738136,CPN1
2026-02-17T10:45:13Z,G12,,,,55.700826803652305,CPN1
2026-02-17T10:45:13Z,G13,,,,105.74469675007435,CPN1
2026-02-17T10:45:13Z,G14,,,,123.64404401914112,CPN1
2026-02-17T10:45:13Z,G17,,,,76.47477824830189,CPN1
2026-02-17T10:45:13Z,G19,,,,43.488072049437186,CPN1
2026-02-17T10:45:13Z,G21,,,,35.74190357098318,CPN1
2026-02-17T10:45:13Z,G22,,,,57.7842576722252,CPN1
2026-02-17T10:45:13Z,G24,,,,147.50645145660513,CPN1
2026-02-17T10:45:13Z,G25,,,,194.19144462693257,CPN1
2026-02-17T10:45:13Z,E02,,,,63.47657505512938,CPN1
2026-02-17T10:45:13Z,E03,,,,106.5573855708637,CPN1
2026-02-17T10:45:13Z,E05,,,,118.48945258701191,CPN1
2026-02-17T10:45:13Z,E13,,,,250.0,CPN1
2026-02-17T10:45:13Z,E15,,,,105.38389713868742,CPN1
2026-02-17T10:45:13Z,E25,,,,152.98454553967952,CPN1
2026-02-17T10:45:13Z,E27,,,,185.22155295131992,CPN1
2026-02-17T10:45:13Z,E30,,,,75.04740479164181,CPN1
2026-02-17T10:45:13Z,E34,,,,101.46091918762203,CPN1
2026-02-17T10:45:13Z,E36,,,,202.74347758013465,CPN1
2026-02-17T10:45:14Z,G05,,,,42.5023796748159,CPN1
2026-02-17T10:45:14Z,G06,,,,132.10191313383382,CPN1
2026-02-17T10:45:14Z,G11,,,,63.18730080477519,CPN1
2026-02-17T10:45:14Z,G12,,,,55.70217498158917,CPN1
2026-02-17T10:45:14Z,G13,,,,105.75358785873661,CPN1
2026-02-17T10:45:14Z,G14,,,,123.6084216727031,CPN1
2026-02-17T10:45:14Z,G17,,,,76.48299828238767,CPN1
2026-02-17T10:45:14Z,G19,,,,43.486091558458085,CPN1
2026-02-17T10:45:14Z,G21,,,,35.73998397072162,CPN1
2026-02-17T10:45:14Z,G22,,,,57.755976327714905,CPN1
2026-02-17T10:45:14Z,G24,,,,147.52281971132123,CPN1
2026-02-17T10:45:14Z,G25,,,,194.28429456633,CPN1
2026-02-17T10:45:14Z,E02,,,,63.47118424735008,CPN1
2026-02-17T10:45:14Z,E03,,,,106.56366326821204,CPN1
2026-02-17T10:45:14Z,E05,,,,118.47415748009948,CPN1
2026-02-17T10:45:14Z,E13,,,,250.0,CPN1
2026-02-17T10:45:14Z,E15,,,,105.39595042055814,CPN1
2026-02-17T10:45:14Z,E25,,,,152.99747822035135,CPN1
2026-02-17T10:45:14Z,E27,,,,185.2244807714684,CPN1
2026-02-17T10:45:14Z,E30,,,,75.05173283587622,CPN1
2026-02-17T10:45:14Z,E34,,,,101.46409570704995,CPN1
2026-02-17T10:45:14Z,E36,,,,202.729591460639,CPN1
2026-02-17T10:45:15Z,G05,,,,42.51713746403148,CPN1
2026-02-17T10:45:15Z,G06,,,,132.11408276611525,CPN1
2026-02-17T10:45:15Z,G11,,,,63.13331247741263,CPN1
2026-02-17T10:45:15Z,G12,,,,55.71047771640487,CPN1
2026-02-17T10:45:15Z,G13,,,,105.73258424938638,CPN1
2026-02-17T10:45:15Z,G14,,,,123.64825764260874,CPN1
2026-02-17T10:45:15Z,G17,,,,76.50239954736392,CPN1
2026-02-17T10:45:15Z,G19,,,,43.472050520722966,CPN1
2026-02-17T10:45:15Z,G21,,,,35.7357485372416,CPN1
