ts,prn,S4c,ROTI,VTEC,STEC,station
2026-03-01T03:00:53Z,R04,,,,44.675243874290736,STFD
2026-03-01T03:00:53Z,R05,,,,44.67686829373689,STFD
2026-03-01T03:00:53Z,R06,,,,51.50311030249408,STFD
2026-03-01T03:00:53Z,R15,,,,53.172754098219286,STFD
2026-03-01T03:00:53Z,R16,,,,55.7255339113624,STFD
2026-03-01T03:00:53Z,R17,,,,63.484294654101376,STFD
2026-03-01T03:00:53Z,R18,,,,73.74173128234195,STFD
2026-03-01T03:04:51Z,R04,,,,36.183119781145486,STFD
2026-03-01T03:04:51Z,R05,,,,44.900279866302036,STFD
2026-03-01T03:04:51Z,R06,,,,55.456116565107074,STFD
2026-03-01T03:04:51Z,R15,,,,56.9081877165136,STFD
2026-03-01T03:04:51Z,R16,,,,50.85546726730632,STFD
2026-03-01T03:04:51Z,R17,,,,54.397947991262384,STFD
2026-03-01T03:04:51Z,R18,,,,82.71289028651701,STFD
2026-03-01T07:11:16Z,R07,,,,163.5268807462803,STFD
2026-03-01T07:11:16Z,R09,,,,95.54939112037155,STFD
2026-03-01T07:11:16Z,R16,,,,141.21560943684773,STFD
2026-03-01T07:11:16Z,R19,,,,81.08134699957192,STFD
2026-03-01T07:11:16Z,R20,,,,77.43647679928421,STFD
2026-03-01T07:11:16Z,R21,,,,119.55862994606586,STFD
