ts,prn,S4c,ROTI,VTEC,STEC,station
2026-03-01T03:00:55Z,R04,,,,14.87352060794247,CNBR
2026-03-01T03:00:55Z,R05,,,,16.04204173172244,CNBR
2026-03-01T03:00:55Z,R06,,,,27.627604166835628,CNBR
2026-03-01T03:00:55Z,R15,,,,30.319088088632288,CNBR
2026-03-01T03:00:55Z,R16,,,,23.506914014513406,CNBR
2026-03-01T03:00:55Z,R17,,,,35.82117434318393,CNBR
2026-03-01T03:00:55Z,R18,,,,48.16496252313046,CNBR
2026-03-01T03:04:54Z,R04,,,,15.048503191313104,CNBR
2026-03-01T03:04:54Z,R05,,,,17.785741910469945,CNBR
2026-03-01T03:04:54Z,R06,,,,29.886464836579123,CNBR
2026-03-01T03:04:54Z,R15,,,,30.493335709216666,CNBR
2026-03-01T03:04:54Z,R16,,,,32.38730376704337,CNBR
2026-03-01T03:04:54Z,R17,,,,35.29696203501189,CNBR
2026-03-01T03:04:54Z,R18,,,,49.729889104874786,CNBR
