ts_utc,ws_total_connections,ws_station_connections,publish_count,publish_rows,publish_write_ms,publish_broadcast_ms,publish_total_ms,client_ws_status,client_ws_reconnects,client_pending_samples,client_pending_counts,client_render_ms,client_heap_mb,client_fps,client_last_seen
2026-03-07T03:18:23.570409+00:00,1,1,6,195,1798.242,17.086,1815.328,connecting,3,0,0,0.09999996423721313,251.6460313796997,17.713048612477657,2026-03-07T03:18:15.102988+00:00
2026-03-07T03:18:30.634776+00:00,,,,,,,,,,,,,,,
2026-03-07T03:18:37.742376+00:00,,,,,,,,,,,,,,,
2026-03-07T03:18:44.780697+00:00,,,,,,,,,,,,,,,
2026-03-07T03:18:51.827725+00:00,,,,,,,,,,,,,,,
2026-03-07T03:18:58.853536+00:00,,,,,,,,,,,,,,,
2026-03-07T03:19:05.902993+00:00,,,,,,,,,,,,,,,
2026-03-07T03:19:12.951498+00:00,,,,,,,,,,,,,,,
2026-03-07T03:19:19.998435+00:00,,,,,,,,,,,,,,,
2026-03-07T03:19:27.036348+00:00,,,,,,,,,,,,,,,
2026-03-07T03:19:34.078246+00:00,,,,,,,,,,,,,,,
2026-03-07T03:19:41.114934+00:00,,,,,,,,,,,,,,,
2026-03-07T03:19:48.149186+00:00,,,,,,,,,,,,,,,
2026-03-07T03:19:55.190799+00:00,,,,,,,,,,,,,,,
2026-03-07T03:20:02.238825+00:00,,,,,,,,,,,,,,,
2026-03-07T03:20:09.285758+00:00,,,,,,,,,,,,,,,
2026-03-07T03:20:16.322161+00:00,,,,,,,,,,,,,,,
2026-03-07T03:20:23.433567+00:00,,,,,,,,,,,,,,,
2026-03-07T03:20:30.496989+00:00,,,,,,,,,,,,,,,
2026-03-07T03:20:37.551299+00:00,,,,,,,,,,,,,,,
2026-03-07T03:20:44.589419+00:00,,,,,,,,,,,,,,,
2026-03-07T03:20:51.639934+00:00,,,,,,,,,,,,,,,
2026-03-07T03:20:58.755476+00:00,,,,,,,,,,,,,,,
2026-03-07T03:21:05.797338+00:00,,,,,,,,,,,,,,,
2026-03-07T03:21:12.839554+00:00,,,,,,,,,,,,,,,
2026-03-07T03:21:19.882423+00:00,,,,,,,,,,,,,,,
2026-03-07T03:21:26.920955+00:00,,,,,,,,,,,,,,,
2026-03-07T03:21:33.970591+00:00,,,,,,,,,,,,,,,
2026-03-07T03:21:40.398844+00:00,,,,,,,,,,,,,,,
2026-03-07T03:21:46.461093+00:00,,,,,,,,,,,,,,,
2026-03-07T03:21:52.571483+00:00,,,,,,,,,,,,,,,
2026-03-07T03:21:57.667746+00:00,0,0,1,1,11.414,0.067,11.481,,,,,,,,
2026-03-07T03:22:04.743830+00:00,,,,,,,,,,,,,,,
2026-03-07T03:22:09.000026+00:00,1,1,17,500,1932.565,5.111,1937.676,open,5,0,0,1.2999999523162842,159.5826063156128,0.876347384103054,2026-03-07T03:22:06.373155+00:00
2026-03-07T03:22:13.820427+00:00,0,0,28,500,2972.081,5.577,2977.658,open,5,0,0,1.2999999523162842,159.5826063156128,0.876347384103054,2026-03-07T03:22:06.373155+00:00
2026-03-07T03:22:17.922495+00:00,1,1,40,20,44.43,1.09,45.521,open,0,0,0,0,99.66872024536133,3.8725917320166534,2026-03-07T03:22:16.696739+00:00
2026-03-07T03:22:21.962824+00:00,1,1,58,17,25.137,0.443,25.58,open,0,0,0,0,99.66872024536133,3.8725917320166534,2026-03-07T03:22:16.696739+00:00
2026-03-07T03:22:25.997472+00:00,1,1,73,7,14.836,0.299,15.135,open,0,0,0,0.10000002384185791,164.19040393829346,3.6941263391208006,2026-03-07T03:22:22.676468+00:00
2026-03-07T03:22:30.029456+00:00,1,1,86,16,21.295,0.536,21.831,open,0,7,0,0.09999996423721313,237.91705894470215,5.716463414634155,2026-03-07T03:22:26.112045+00:00
2026-03-07T03:22:34.058746+00:00,1,1,102,8,16.727,0.477,17.204,open,0,0,0,0.19999998807907104,289.39781761169434,4.547521600727603,2026-03-07T03:22:31.306341+00:00
2026-03-07T03:22:38.087427+00:00,1,1,117,7,11.717,0.328,12.045,open,0,0,0,0.10000002384185791,125.57941246032715,3.5310734463276896,2026-03-07T03:22:36.150034+00:00
2026-03-07T03:22:42.137186+00:00,1,1,130,8,10.995,0.354,11.35,open,0,22,0,0,181.74657249450684,4.840739665020808,2026-03-07T03:22:41.598875+00:00
2026-03-07T03:22:46.169874+00:00,1,1,146,8,11.399,0.429,11.828,open,0,22,0,0,181.74657249450684,4.840739665020808,2026-03-07T03:22:41.598875+00:00
2026-03-07T03:22:50.204172+00:00,1,1,160,7,16.012,0.471,16.483,open,0,0,0,0.20000004768371582,221.66359424591064,4.392065002562043,2026-03-07T03:22:46.518197+00:00
2026-03-07T03:22:54.243577+00:00,1,1,175,7,11.02,0.303,11.323,open,0,0,0,0.19999998807907104,113.09771633148193,4.8412083656080425,2026-03-07T03:22:51.307422+00:00
2026-03-07T03:22:58.299365+00:00,1,1,190,16,19.731,0.578,20.309,open,0,0,0,0.09999996423721313,182.37307739257812,1.559089491736831,2026-03-07T03:22:56.292923+00:00
2026-03-07T03:23:02.329020+00:00,1,1,203,7,10.1,0.296,10.396,open,0,0,0,0,218.6349925994873,2.466902392895324,2026-03-07T03:23:01.809100+00:00
2026-03-07T03:23:06.379681+00:00,1,1,219,7,9.185,0.492,9.677,open,0,0,0,0,218.6349925994873,2.466902392895324,2026-03-07T03:23:01.809100+00:00
2026-03-07T03:23:10.412549+00:00,1,1,234,18,38.275,0.581,38.856,open,0,22,0,0,124.692626953125,3.7133308577794213,2026-03-07T03:23:06.953975+00:00
2026-03-07T03:23:14.437529+00:00,1,1,247,8,12.756,0.378,13.135,open,0,71,0,0,168.68831539154053,0.8337154529159219,2026-03-07T03:23:13.155071+00:00
2026-03-07T03:23:18.487518+00:00,1,1,261,8,14.153,0.737,14.89,open,0,8,0,0,185.2038278579712,1.6078893772108453,2026-03-07T03:23:17.097544+00:00
2026-03-07T03:23:22.535776+00:00,1,1,277,13,20.218,0.663,20.88,open,0,8,0,0.09999996423721313,219.1810712814331,1.5796956453056663,2026-03-07T03:23:21.439727+00:00
2026-03-07T03:23:26.584525+00:00,1,1,291,8,46.67,0.557,47.227,open,0,0,0,0.19999998807907104,102.22153663635254,0.8279516476237768,2026-03-07T03:23:26.315339+00:00
2026-03-07T03:23:30.631740+00:00,1,1,305,7,18.377,0.47,18.847,open,0,0,0,0.19999998807907104,102.22153663635254,0.8279516476237768,2026-03-07T03:23:26.315339+00:00
2026-03-07T03:23:36.706953+00:00,,,,,,,,,,,,,,,
2026-03-07T03:23:43.974891+00:00,,,,,,,,,,,,,,,
2026-03-07T03:23:50.081113+00:00,,,,,,,,,,,,,,,
