ts_utc,ws_total_connections,ws_station_connections,publish_count,publish_rows,publish_write_ms,publish_broadcast_ms,publish_total_ms,client_ws_status,client_ws_reconnects,client_pending_samples,client_pending_counts,client_render_ms,client_heap_mb,client_fps,client_last_seen
2026-03-07T03:26:57.124399+00:00,1,1,14,1,291.075,0.155,291.23,,,,,,,,
2026-03-07T03:27:01.574828+00:00,1,1,32,1,441.084,0.476,441.56,open,3,0,0,0.3999999761581421,190.88380241394043,3.2890679603667077,2026-03-07T03:27:00.687012+00:00
2026-03-07T03:27:06.472163+00:00,0,0,53,8,879.257,0.192,879.449,open,3,0,0,0.3999999761581421,190.88380241394043,3.2890679603667077,2026-03-07T03:27:00.687012+00:00
2026-03-07T03:27:10.520262+00:00,1,1,82,17,33.28,0.578,33.858,open,3,0,0,0.3999999761581421,190.88380241394043,3.2890679603667077,2026-03-07T03:27:00.687012+00:00
2026-03-07T03:27:15.000804+00:00,1,1,105,13,461.745,0.696,462.441,open,0,8,0,0.10000002384185791,78.21089267730713,3.1593081115235755,2026-03-07T03:27:10.778205+00:00
2026-03-07T03:27:19.039941+00:00,1,1,129,7,8.624,0.319,8.942,open,0,0,0,0.19999998807907104,106.33197498321533,6.4549444874774045,2026-03-07T03:27:15.217549+00:00
2026-03-07T03:27:23.067694+00:00,1,1,150,8,9.845,0.405,10.249,open,0,15,0,0.09999996423721313,72.88510990142822,11.35810481908163,2026-03-07T03:27:20.071763+00:00
2026-03-07T03:27:27.111091+00:00,1,1,172,8,46.695,11.125,57.82,open,0,0,0,0.10000002384185791,134.829176902771,6.4030734752681395,2026-03-07T03:27:25.490148+00:00
2026-03-07T03:27:31.144641+00:00,1,1,196,8,13.246,0.547,13.793,open,0,0,0,0.19999998807907104,156.3993616104126,12.791498573255938,2026-03-07T03:27:30.388088+00:00
2026-03-07T03:27:35.190639+00:00,1,1,216,7,16.625,0.592,17.217,open,0,0,0,0.19999998807907104,156.3993616104126,12.791498573255938,2026-03-07T03:27:30.388088+00:00
2026-03-07T03:27:39.243675+00:00,1,1,238,7,18.966,0.607,19.573,open,0,0,0,0,84.09409523010254,9.603841536614645,2026-03-07T03:27:35.391918+00:00
2026-03-07T03:27:43.279719+00:00,1,1,261,7,42.108,1.677,43.785,open,0,0,0,0,130.75243282318115,2.4011045080737117,2026-03-07T03:27:40.163872+00:00
2026-03-07T03:27:47.326529+00:00,1,1,281,6,8.181,0.315,8.496,open,0,6,0,0.19999998807907104,144.56153964996338,5.375380756136872,2026-03-07T03:27:45.422203+00:00
2026-03-07T03:27:51.456065+00:00,1,1,303,11,92.63,0.387,93.017,open,0,0,0,0.09999996423721313,185.89922428131104,21.301316808675537,2026-03-07T03:27:50.118079+00:00
2026-03-07T03:27:55.561488+00:00,1,1,327,12,20.875,0.386,21.261,open,0,7,0,0.10000002384185791,102.13258647918701,8.185538881309686,2026-03-07T03:27:55.438781+00:00
2026-03-07T03:27:59.615960+00:00,1,1,350,6,9.295,0.393,9.688,open,0,7,0,0.10000002384185791,102.13258647918701,8.185538881309686,2026-03-07T03:27:55.438781+00:00
2026-03-07T03:28:03.664846+00:00,1,1,371,7,7.714,0.304,8.018,open,0,33,0,0.10000002384185791,168.34594440460205,5.716463414634155,2026-03-07T03:28:00.136342+00:00
