ts_utc,ws_total_connections,ws_station_connections,publish_count,publish_rows,publish_write_ms,publish_broadcast_ms,publish_total_ms,client_ws_status,client_ws_reconnects,client_pending_samples,client_pending_counts,client_render_ms,client_heap_mb,client_fps,client_last_seen
2026-03-07T02:05:29.238382+00:00,,,,,,,,,,,,,,,
2026-03-07T02:05:36.289767+00:00,,,,,,,,,,,,,,,
2026-03-07T02:05:43.316995+00:00,,,,,,,,,,,,,,,
2026-03-07T02:05:50.350261+00:00,,,,,,,,,,,,,,,
2026-03-07T02:05:57.390550+00:00,,,,,,,,,,,,,,,
2026-03-07T02:06:04.411746+00:00,,,,,,,,,,,,,,,
2026-03-07T02:06:11.446951+00:00,,,,,,,,,,,,,,,
2026-03-07T02:06:18.481997+00:00,,,,,,,,,,,,,,,
2026-03-07T02:06:25.568990+00:00,,,,,,,,,,,,,,,
2026-03-07T02:06:32.598994+00:00,,,,,,,,,,,,,,,
2026-03-07T02:06:39.637268+00:00,,,,,,,,,,,,,,,
2026-03-07T02:06:46.686523+00:00,,,,,,,,,,,,,,,
2026-03-07T02:06:53.732821+00:00,,,,,,,,,,,,,,,
2026-03-07T02:07:00.763023+00:00,,,,,,,,,,,,,,,
2026-03-07T02:07:07.804854+00:00,,,,,,,,,,,,,,,
2026-03-07T02:07:14.849677+00:00,,,,,,,,,,,,,,,
2026-03-07T02:07:21.869970+00:00,,,,,,,,,,,,,,,
2026-03-07T02:07:28.898853+00:00,,,,,,,,,,,,,,,
2026-03-07T02:07:35.947372+00:00,,,,,,,,,,,,,,,
2026-03-07T02:07:43.001605+00:00,,,,,,,,,,,,,,,
2026-03-07T02:07:50.056431+00:00,,,,,,,,,,,,,,,
2026-03-07T02:07:57.103628+00:00,,,,,,,,,,,,,,,
2026-03-07T02:08:04.165828+00:00,,,,,,,,,,,,,,,
2026-03-07T02:08:11.190467+00:00,,,,,,,,,,,,,,,
2026-03-07T02:08:18.219278+00:00,,,,,,,,,,,,,,,
2026-03-07T02:08:25.240955+00:00,,,,,,,,,,,,,,,
2026-03-07T02:08:32.287639+00:00,,,,,,,,,,,,,,,
2026-03-07T02:08:39.331230+00:00,,,,,,,,,,,,,,,
2026-03-07T02:08:46.347215+00:00,,,,,,,,,,,,,,,
2026-03-07T02:08:53.384998+00:00,,,,,,,,,,,,,,,
2026-03-07T02:09:00.404580+00:00,,,,,,,,,,,,,,,
2026-03-07T02:09:07.434672+00:00,,,,,,,,,,,,,,,
2026-03-07T02:09:14.454967+00:00,,,,,,,,,,,,,,,
2026-03-07T02:09:21.500728+00:00,,,,,,,,,,,,,,,
2026-03-07T02:09:28.528333+00:00,,,,,,,,,,,,,,,
2026-03-07T02:09:35.582745+00:00,,,,,,,,,,,,,,,
2026-03-07T02:09:42.611366+00:00,,,,,,,,,,,,,,,
2026-03-07T02:09:49.653458+00:00,,,,,,,,,,,,,,,
2026-03-07T02:09:56.718205+00:00,,,,,,,,,,,,,,,
2026-03-07T02:10:03.753148+00:00,,,,,,,,,,,,,,,
2026-03-07T02:10:10.531110+00:00,1,1,287,1,348.141,11.987,360.128,connecting,1,0,0,0.10000002384185791,74.67458629608154,35.4295837023918,2026-03-07T02:10:09.990119+00:00
2026-03-07T02:10:17.580131+00:00,,,,,,,,,,,,,,,
2026-03-07T02:10:24.617820+00:00,,,,,,,,,,,,,,,
2026-03-07T02:10:31.660680+00:00,,,,,,,,,,,,,,,
2026-03-07T02:10:38.713764+00:00,,,,,,,,,,,,,,,
2026-03-07T02:10:45.762333+00:00,,,,,,,,,,,,,,,
2026-03-07T02:10:52.535555+00:00,1,1,330,1,1905.33,1.036,1906.366,connecting,1,0,0,0.10000002384185791,103.95294284820557,40.34638850619968,2026-03-07T02:10:19.371083+00:00
