ts_utc,ws_total_connections,ws_station_connections,publish_count,publish_rows,publish_write_ms,publish_broadcast_ms,publish_total_ms,client_ws_status,client_ws_reconnects,client_pending_samples,client_pending_counts,client_render_ms,client_heap_mb,client_fps,client_last_seen
2026-03-07T03:57:35.513466+00:00,0,0,54675,5,11.623,0.118,11.741,open,0,0,0,0.19999998807907104,251.7106122970581,1.7316017316017316,2026-03-07T03:53:06.557795+00:00
2026-03-07T03:57:39.644068+00:00,0,0,54692,7,176.517,0.125,176.642,open,0,0,0,0.19999998807907104,251.7106122970581,1.7316017316017316,2026-03-07T03:53:06.557795+00:00
2026-03-07T03:57:43.676273+00:00,0,0,54710,4,9.755,0.081,9.836,open,0,0,0,0.19999998807907104,251.7106122970581,1.7316017316017316,2026-03-07T03:53:06.557795+00:00
2026-03-07T03:57:47.704844+00:00,0,0,54729,4,4.695,0.06,4.755,open,0,0,0,0.19999998807907104,251.7106122970581,1.7316017316017316,2026-03-07T03:53:06.557795+00:00
2026-03-07T03:57:51.744541+00:00,0,0,54748,7,17.906,0.091,17.996,open,0,0,0,0.19999998807907104,251.7106122970581,1.7316017316017316,2026-03-07T03:53:06.557795+00:00
2026-03-07T03:57:55.771280+00:00,0,0,54765,4,6.889,0.069,6.959,open,0,0,0,0.19999998807907104,251.7106122970581,1.7316017316017316,2026-03-07T03:53:06.557795+00:00
2026-03-07T03:57:59.798891+00:00,0,0,54784,4,8.379,0.072,8.45,open,0,0,0,0.19999998807907104,251.7106122970581,1.7316017316017316,2026-03-07T03:53:06.557795+00:00
2026-03-07T03:58:03.832653+00:00,0,0,54802,4,6.268,0.064,6.332,open,0,0,0,0.19999998807907104,251.7106122970581,1.7316017316017316,2026-03-07T03:53:06.557795+00:00
2026-03-07T03:58:07.870864+00:00,0,0,54822,4,10.508,0.112,10.62,open,0,0,0,0.19999998807907104,251.7106122970581,1.7316017316017316,2026-03-07T03:53:06.557795+00:00
2026-03-07T03:58:11.898911+00:00,0,0,54839,4,8.628,0.069,8.697,open,0,0,0,0.19999998807907104,251.7106122970581,1.7316017316017316,2026-03-07T03:53:06.557795+00:00
2026-03-07T03:58:15.921252+00:00,0,0,54857,7,6.967,0.069,7.035,open,0,0,0,0.19999998807907104,251.7106122970581,1.7316017316017316,2026-03-07T03:53:06.557795+00:00
2026-03-07T03:58:19.952537+00:00,0,0,54875,4,13.282,0.054,13.337,open,0,0,0,0.19999998807907104,251.7106122970581,1.7316017316017316,2026-03-07T03:53:06.557795+00:00
2026-03-07T03:58:24.041103+00:00,1,1,54892,3,6.089,0.565,6.654,open,0,0,0,0.19999998807907104,251.7106122970581,1.7316017316017316,2026-03-07T03:53:06.557795+00:00
2026-03-07T03:58:28.321425+00:00,1,1,54910,6,17.485,0.5,17.985,open,0,0,0,0.20000004768371582,94.64790725708008,2.638522427440633,2026-03-07T03:58:27.712783+00:00
2026-03-07T03:58:32.419677+00:00,1,1,54930,8,17.796,0.424,18.22,open,0,10,0,0.19999998807907104,114.24740791320801,21.297192642787998,2026-03-07T03:58:32.289439+00:00
2026-03-07T03:58:36.463033+00:00,1,1,54947,7,14.611,0.599,15.21,open,0,10,0,0.19999998807907104,114.24740791320801,21.297192642787998,2026-03-07T03:58:32.289439+00:00
2026-03-07T03:58:40.502283+00:00,1,1,54965,8,17.413,0.495,17.909,open,0,13,0,0.19999998807907104,123.87476539611816,7.872466049990168,2026-03-07T03:58:37.126107+00:00
2026-03-07T03:58:44.541285+00:00,1,1,54985,11,14.713,0.468,15.181,open,0,12,0,0.19999998807907104,167.98837566375732,2.770338904792692,2026-03-07T03:58:42.121872+00:00
2026-03-07T03:58:48.571168+00:00,1,1,55002,6,12.899,0.41,13.309,open,0,0,0,0.10000002384185791,206.959641456604,13.341115650796265,2026-03-07T03:58:47.132464+00:00
2026-03-07T03:58:52.904281+00:00,1,1,55019,12,59.629,0.559,60.188,open,0,0,0,0.10000002384185791,206.959641456604,13.341115650796265,2026-03-07T03:58:47.132464+00:00
2026-03-07T03:58:56.979897+00:00,1,1,55039,5,38.079,0.478,38.557,open,0,4,0,1.899999976158142,112.16987991333008,1.2442066627266783,2026-03-07T03:58:53.599598+00:00
2026-03-07T03:59:01.015929+00:00,1,1,55059,4,6.116,0.248,6.364,open,0,50,0,0.09999996423721313,140.57785320281982,0.21670820240546104,2026-03-07T03:58:58.207852+00:00
2026-03-07T03:59:05.050606+00:00,1,1,55074,5,15.904,0.663,16.567,open,0,4,0,0.2999999523162842,95.35800647735596,0.40288465412352464,2026-03-07T03:59:02.265506+00:00
2026-03-07T03:59:09.094342+00:00,1,1,55094,7,10.709,0.343,11.052,open,0,7,0,0.5,101.62520503997803,0.40288465412352464,2026-03-07T03:59:07.823742+00:00
2026-03-07T03:59:13.134172+00:00,1,1,55112,4,7.573,0.38,7.953,open,0,18,0,0.3999999761581421,84.90463256835938,0.13736075053914099,2026-03-07T03:59:12.124972+00:00
2026-03-07T03:59:17.160409+00:00,1,1,55130,4,7.446,0.278,7.725,open,0,18,0,0.3999999761581421,84.90463256835938,0.13736075053914099,2026-03-07T03:59:12.124972+00:00
2026-03-07T03:59:21.193779+00:00,1,1,55149,4,8.117,1.002,9.119,open,0,0,0,0,110.30983257293701,0.24008450974743084,2026-03-07T03:59:17.396838+00:00
2026-03-07T03:59:25.230202+00:00,1,1,55167,6,13.223,0.388,13.611,open,0,4,0,0.6000000238418579,87.85737133026123,1.0173974972021553,2026-03-07T03:59:23.112388+00:00
2026-03-07T03:59:29.283760+00:00,1,1,55184,4,8.297,0.354,8.651,open,0,13,0,0.19999998807907104,75.10913944244385,0.8828852690592874,2026-03-07T03:59:28.477406+00:00
2026-03-07T03:59:33.319044+00:00,1,1,55204,8,31.439,0.471,31.91,open,0,0,0,0.10000002384185791,103.69952774047852,0.8828852690592874,2026-03-07T03:59:32.809053+00:00
2026-03-07T03:59:37.353879+00:00,1,1,55221,5,14.685,0.448,15.133,open,0,0,0,0.10000002384185791,103.69952774047852,0.8828852690592874,2026-03-07T03:59:32.809053+00:00
2026-03-07T03:59:41.387636+00:00,1,1,55239,5,35.563,0.508,36.071,open,0,0,0,0.5,167.7450361251831,1.7482517482517483,2026-03-07T03:59:37.558280+00:00
2026-03-07T03:59:45.424072+00:00,1,1,55258,8,19.324,0.541,19.865,open,0,15,0,0.20000004768371582,100.23685550689697,1.4641288433382138,2026-03-07T03:59:42.136565+00:00
2026-03-07T03:59:49.461174+00:00,1,1,55275,8,17.952,0.571,18.523,open,0,0,0,0.19999998807907104,79.16662883758545,2.638522427440633,2026-03-07T03:59:47.584041+00:00
2026-03-07T03:59:53.491222+00:00,1,1,55294,7,15.198,0.534,15.732,open,0,0,0,0.20000004768371582,75.12333393096924,3.001425677196675,2026-03-07T03:59:52.215853+00:00
2026-03-07T03:59:57.539963+00:00,1,1,55312,7,15.099,0.576,15.675,open,0,0,0,0.20000004768371582,75.12333393096924,3.001425677196675,2026-03-07T03:59:52.215853+00:00
2026-03-07T04:00:01.593068+00:00,1,1,55331,14,25.645,1.088,26.733,open,0,0,0,0.19999998807907104,78.78208446502686,1.3852973771702954,2026-03-07T03:59:58.249160+00:00
2026-03-07T04:00:05.624196+00:00,1,1,55349,4,7.893,0.36,8.253,open,0,23,0,0.19999998807907104,111.44923305511475,0.7232226802632545,2026-03-07T04:00:04.802358+00:00
2026-03-07T04:00:09.672560+00:00,1,1,55367,14,21.991,0.968,22.959,open,0,0,0,0.19999998807907104,97.03413486480713,2.093948488867178,2026-03-07T04:00:07.213515+00:00
2026-03-07T04:00:13.718858+00:00,1,1,55385,3,8.81,0.476,9.286,open,0,0,0,0.09999996423721313,133.39116287231445,3.430139492339361,2026-03-07T04:00:12.345920+00:00
2026-03-07T04:00:17.776227+00:00,1,1,55405,4,7.354,0.314,7.668,open,0,0,0,0.09999996423721313,189.48712348937988,2.572457554450358,2026-03-07T04:00:17.507385+00:00
2026-03-07T04:00:21.845766+00:00,1,1,55422,7,11.128,0.472,11.6,open,0,0,0,0.09999996423721313,189.48712348937988,2.572457554450358,2026-03-07T04:00:17.507385+00:00
2026-03-07T04:00:25.882442+00:00,1,1,55441,4,12.115,0.435,12.55,open,0,28,0,0,245.70887279510498,2.5434937430053886,2026-03-07T04:00:22.642750+00:00
2026-03-07T04:00:29.929532+00:00,1,1,55459,4,11.929,0.384,12.313,open,0,0,0,0.20000004768371582,98.81813526153564,4.547521600727603,2026-03-07T04:00:27.832724+00:00
2026-03-07T04:00:33.979978+00:00,1,1,55477,4,11.429,0.443,11.872,open,0,0,0,0.20000004768371582,98.81813526153564,4.547521600727603,2026-03-07T04:00:27.832724+00:00
2026-03-07T04:00:38.066599+00:00,1,1,55495,4,18.419,0.479,18.898,open,0,17,0,0.10000002384185791,118.64484786987305,1.0531304302037856,2026-03-07T04:00:34.389147+00:00
2026-03-07T04:00:42.147109+00:00,1,1,55513,4,9.679,0.358,10.037,open,0,50,0,0.20000004768371582,159.07836532592773,0.736539736318776,2026-03-07T04:00:38.442053+00:00
2026-03-07T04:00:47.051819+00:00,1,1,55533,3,8.14,0.362,8.502,open,0,18,0,0.10000002384185791,215.25296592712402,2.5407310953727076,2026-03-07T04:00:45.519213+00:00
2026-03-07T04:00:51.634341+00:00,1,1,55556,4,6.408,0.406,6.814,open,0,13,0,0.10000002384185791,219.66981029510498,2.256114069127323,2026-03-07T04:00:47.807066+00:00
2026-03-07T04:00:55.656291+00:00,1,1,55573,1,11.087,0.362,11.45,open,0,0,0,0.10000002384185791,240.93076705932617,1.0174492547184149,2026-03-07T04:00:52.463828+00:00
2026-03-07T04:00:59.712823+00:00,1,1,55591,5,11.395,0.356,11.751,open,0,0,0,0,99.94136619567871,1.0439503079653314,2026-03-07T04:00:57.583993+00:00
2026-03-07T04:01:03.749698+00:00,1,1,55610,7,13.592,0.39,13.982,open,0,0,0,0.10000002384185791,157.53870391845703,2.1186440677966103,2026-03-07T04:01:02.518101+00:00
2026-03-07T04:01:07.818946+00:00,1,1,55629,4,15.661,0.462,16.123,open,0,0,0,0.10000002384185791,157.53870391845703,2.1186440677966103,2026-03-07T04:01:02.518101+00:00
2026-03-07T04:01:11.950907+00:00,1,1,55647,7,23.81,0.392,24.202,open,0,7,0,0.3999999761581421,184.55228900909424,0.9452912678719131,2026-03-07T04:01:10.902209+00:00
2026-03-07T04:01:16.013334+00:00,1,1,55665,7,42.655,0.677,43.332,open,0,4,0,0.19999998807907104,215.7052640914917,1.4913131011856036,2026-03-07T04:01:13.300183+00:00
2026-03-07T04:01:20.140178+00:00,1,1,55684,4,61.336,0.441,61.777,open,0,5,0,0.19999998807907104,221.1119031906128,0.42572213116498914,2026-03-07T04:01:18.030824+00:00
2026-03-07T04:01:24.183195+00:00,1,1,55702,4,20.465,0.878,21.343,open,0,5,0,0.19999998807907104,221.1119031906128,0.42572213116498914,2026-03-07T04:01:18.030824+00:00
2026-03-07T04:01:28.256160+00:00,1,1,55720,4,10.342,0.501,10.843,open,0,0,0,0,96.76227569580078,0.8763089865486615,2026-03-07T04:01:27.425740+00:00
2026-03-07T04:01:32.356946+00:00,1,1,55739,6,27.925,0.601,28.525,open,0,0,0,0,96.76227569580078,0.8763089865486615,2026-03-07T04:01:27.425740+00:00
2026-03-07T04:01:36.430415+00:00,1,1,55758,4,33.249,0.397,33.646,open,0,43,0,0.10000002384185791,133.22286701202393,1.0624169986719787,2026-03-07T04:01:34.204789+00:00
2026-03-07T04:01:40.492728+00:00,1,1,55775,6,21.341,0.647,21.988,open,0,18,0,0,190.2255744934082,1.3439053890606172,2026-03-07T04:01:38.138577+00:00
