ts_utc,ws_total_connections,ws_station_connections,publish_count,publish_rows,publish_write_ms,publish_broadcast_ms,publish_total_ms,client_ws_status,client_ws_reconnects,client_pending_samples,client_pending_counts,client_render_ms,client_heap_mb,client_fps,client_last_seen
2026-03-07T03:01:47.670922+00:00,,,,,,,,,,,,,,,
2026-03-07T03:01:54.715378+00:00,,,,,,,,,,,,,,,
2026-03-07T03:02:01.747053+00:00,,,,,,,,,,,,,,,
2026-03-07T03:02:08.789313+00:00,,,,,,,,,,,,,,,
2026-03-07T03:02:15.825232+00:00,,,,,,,,,,,,,,,
2026-03-07T03:02:22.881385+00:00,,,,,,,,,,,,,,,
2026-03-07T03:02:29.902867+00:00,,,,,,,,,,,,,,,
2026-03-07T03:02:36.933733+00:00,,,,,,,,,,,,,,,
2026-03-07T03:02:43.967425+00:00,,,,,,,,,,,,,,,
2026-03-07T03:02:51.007588+00:00,,,,,,,,,,,,,,,
2026-03-07T03:02:58.037618+00:00,,,,,,,,,,,,,,,
2026-03-07T03:03:05.107444+00:00,,,,,,,,,,,,,,,
2026-03-07T03:03:11.184196+00:00,,,,,,,,,,,,,,,
2026-03-07T03:03:17.245500+00:00,,,,,,,,,,,,,,,
2026-03-07T03:03:23.312733+00:00,,,,,,,,,,,,,,,
2026-03-07T03:03:30.880648+00:00,,,,,,,,,,,,,,,
2026-03-07T03:03:37.919749+00:00,,,,,,,,,,,,,,,
2026-03-07T03:03:44.952645+00:00,,,,,,,,,,,,,,,
2026-03-07T03:03:52.013505+00:00,,,,,,,,,,,,,,,
2026-03-07T03:03:59.046009+00:00,,,,,,,,,,,,,,,
2026-03-07T03:04:06.079249+00:00,,,,,,,,,,,,,,,
2026-03-07T03:04:13.119027+00:00,,,,,,,,,,,,,,,
2026-03-07T03:04:20.140273+00:00,,,,,,,,,,,,,,,
2026-03-07T03:04:26.216080+00:00,,,,,,,,,,,,,,,
2026-03-07T03:04:32.266773+00:00,,,,,,,,,,,,,,,
2026-03-07T03:04:38.445437+00:00,,,,,,,,,,,,,,,
2026-03-07T03:04:44.588954+00:00,,,,,,,,,,,,,,,
2026-03-07T03:04:50.703414+00:00,,,,,,,,,,,,,,,
2026-03-07T03:04:56.822745+00:00,,,,,,,,,,,,,,,
2026-03-07T03:05:05.399752+00:00,,,,,,,,,,,,,,,
2026-03-07T03:05:12.439246+00:00,,,,,,,,,,,,,,,
2026-03-07T03:05:19.463348+00:00,,,,,,,,,,,,,,,
2026-03-07T03:05:26.503046+00:00,,,,,,,,,,,,,,,
2026-03-07T03:05:33.553258+00:00,,,,,,,,,,,,,,,
2026-03-07T03:05:40.603727+00:00,,,,,,,,,,,,,,,
2026-03-07T03:05:46.345104+00:00,0,0,346,500,1486.764,3.53,1490.294,open,0,0,0,0.19999998807907104,57.31574535369873,18.813832646479174,2026-03-07T03:03:54.651849+00:00
2026-03-07T03:05:50.417678+00:00,0,0,359,1,8.582,0.058,8.64,open,0,0,0,0.19999998807907104,57.31574535369873,18.813832646479174,2026-03-07T03:03:54.651849+00:00
2026-03-07T03:05:56.652242+00:00,0,0,380,500,752.519,3.985,756.504,open,0,0,0,0.19999998807907104,57.31574535369873,18.813832646479174,2026-03-07T03:03:54.651849+00:00
2026-03-07T03:06:01.449023+00:00,0,0,398,1,19.224,0.044,19.268,open,0,0,0,0.19999998807907104,57.31574535369873,18.813832646479174,2026-03-07T03:03:54.651849+00:00
2026-03-07T03:06:05.500537+00:00,0,0,413,1,5.36,0.048,5.408,open,0,0,0,0.19999998807907104,57.31574535369873,18.813832646479174,2026-03-07T03:03:54.651849+00:00
2026-03-07T03:06:09.528524+00:00,0,0,429,1,20.864,0.037,20.901,open,0,0,0,0.19999998807907104,57.31574535369873,18.813832646479174,2026-03-07T03:03:54.651849+00:00
2026-03-07T03:06:13.794526+00:00,0,0,438,500,3314.177,3.635,3317.812,open,0,0,0,0.19999998807907104,57.31574535369873,18.813832646479174,2026-03-07T03:03:54.651849+00:00
2026-03-07T03:06:18.183204+00:00,0,0,460,1,32.643,0.024,32.667,open,0,0,0,0.19999998807907104,57.31574535369873,18.813832646479174,2026-03-07T03:03:54.651849+00:00
2026-03-07T03:06:23.730372+00:00,0,0,476,500,4139.618,3.013,4142.631,open,0,0,0,0.19999998807907104,57.31574535369873,18.813832646479174,2026-03-07T03:03:54.651849+00:00
