ts_utc,ws_total_connections,ws_station_connections,publish_count,publish_rows,publish_write_ms,publish_broadcast_ms,publish_total_ms,client_ws_status,client_ws_reconnects,client_pending_samples,client_pending_counts,client_render_ms,client_heap_mb,client_fps,client_last_seen
2026-03-06T23:23:48.992444+00:00,,,,,,,,,,,,,,,
2026-03-06T23:23:55.052764+00:00,,,,,,,,,,,,,,,
2026-03-06T23:24:01.122037+00:00,,,,,,,,,,,,,,,
2026-03-06T23:24:07.182117+00:00,,,,,,,,,,,,,,,
2026-03-06T23:24:13.214286+00:00,,,,,,,,,,,,,,,
2026-03-06T23:24:19.295272+00:00,,,,,,,,,,,,,,,
2026-03-06T23:24:25.374741+00:00,,,,,,,,,,,,,,,
2026-03-06T23:24:31.456133+00:00,,,,,,,,,,,,,,,
2026-03-06T23:24:37.515532+00:00,,,,,,,,,,,,,,,
2026-03-06T23:24:43.570115+00:00,,,,,,,,,,,,,,,
2026-03-06T23:24:49.625881+00:00,,,,,,,,,,,,,,,
2026-03-06T23:24:55.680194+00:00,,,,,,,,,,,,,,,
2026-03-06T23:25:01.738512+00:00,,,,,,,,,,,,,,,
2026-03-06T23:25:07.790244+00:00,,,,,,,,,,,,,,,
2026-03-06T23:25:13.851442+00:00,,,,,,,,,,,,,,,
2026-03-06T23:25:19.915125+00:00,,,,,,,,,,,,,,,
2026-03-06T23:25:25.977670+00:00,,,,,,,,,,,,,,,
2026-03-06T23:25:32.027704+00:00,,,,,,,,,,,,,,,
2026-03-06T23:25:38.076049+00:00,,,,,,,,,,,,,,,
2026-03-06T23:25:44.138404+00:00,,,,,,,,,,,,,,,
2026-03-06T23:25:50.216111+00:00,,,,,,,,,,,,,,,
2026-03-06T23:25:56.268023+00:00,,,,,,,,,,,,,,,
2026-03-06T23:26:02.348139+00:00,,,,,,,,,,,,,,,
2026-03-06T23:26:08.444769+00:00,,,,,,,,,,,,,,,
2026-03-06T23:26:14.508792+00:00,,,,,,,,,,,,,,,
2026-03-06T23:26:20.570162+00:00,,,,,,,,,,,,,,,
2026-03-06T23:26:26.620489+00:00,,,,,,,,,,,,,,,
