ts,prn,S4c,ROTI,VTEC,STEC,station
2026-02-15T14:25:46Z,R05,,,,95.97979728852566,KMIG
2026-02-15T14:25:46Z,R06,,,,82.57873501766795,KMIG
2026-02-15T14:25:46Z,R07,,,,119.26544476823528,KMIG
2026-02-15T14:25:46Z,R09,,,,118.68091341256336,KMIG
2026-02-15T14:25:46Z,R11,,,,124.25489770403418,KMIG
2026-02-15T14:25:46Z,R19,,,,141.3889751962937,KMIG
2026-02-15T14:25:46Z,R20,,,,110.01203573044837,KMIG
2026-02-15T14:25:46Z,R21,,,,133.007951961667,KMIG
2026-02-15T15:57:09Z,R06,,,,74.06999761701076,KMIG
2026-02-15T15:57:09Z,R07,,,,27.294552211979163,KMIG
2026-02-15T15:57:09Z,R08,,,,68.01354751366685,KMIG
2026-02-15T15:57:09Z,R11,,,,81.0578205472334,KMIG
2026-02-15T15:57:09Z,R20,,,,59.81273953060092,KMIG
2026-02-15T15:57:09Z,R21,,,,75.93979752793014,KMIG
2026-02-15T15:57:09Z,R22,,,,122.39573337586135,KMIG
2026-02-15T16:03:41Z,R06,,,,78.251061946472,KMIG
2026-02-15T16:03:41Z,R07,,,,31.037648965966547,KMIG
2026-02-15T16:03:41Z,R08,,,,41.69507154035992,KMIG
2026-02-15T16:03:41Z,R11,,,,76.0318653743298,KMIG
2026-02-15T16:03:41Z,R20,,,,54.47436119887349,KMIG
2026-02-15T16:03:41Z,R21,,,,73.9521591715277,KMIG
2026-02-15T16:03:41Z,R22,,,,126.80795692970295,KMIG
